station_id,primary_station_id_3,primary_station_id_2,station_name,height_of_station_above_sea_level,sub_region,region,record_id,source_id
USC00467901,USC00467901-161,USC00467901-1,WV SAND FORK,329,231,4,1,161
USC00467918,USC00467918-161,USC00467918-1,WV SANDYVILLE 9 NE,204,231,4,1,161
USC00467920,USC00467920-162,USC00467920-1,WV SANDYVILLE,180,231,4,1,162
USC00468051,USC00468051-161,USC00468051-1,WV SENECA SF 1N,747,231,4,1,161
USC00468083,USC00468083-161,USC00468083-1,WV SHADY SPRINGS 2 ESE,811,231,4,1,161
USC00468100,USC00468100-162,USC00468100-1,WV SHARPLES,271,231,4,1,162
USC00468145,USC00468145-161,USC00468145-1,WV SHINNSTON,278,231,4,1,161
USC00468172,USC00468172-161,USC00468172-1,WV SINKS OF GANDY,1067,231,4,1,161
USC00468190,USC00468190-162,USC00468190-1,WV SISSONVILLE,181,231,4,1,162
USC00468191,USC00468191-233,USC00468191-1,WV SISSONVILLE 1SW,193,231,4,1,233
USC00468220,USC00468220-162,USC00468220-1,WV SLATYFORK,853,231,4,1,162
USC00468274,USC00468274-161,USC00468274-1,WV SMITHBURG,247,231,4,1,161
USC00468282,USC00468282-162,USC00468282-1,WV SMITHFIELD,259,231,4,1,162
USC00468295,USC00468295-161,USC00468295-1,WV SMOOT,747,231,4,1,161
USC00468308,USC00468308-161,USC00468308-1,WV SNOWSHOE,1477,231,4,1,161
USC00468345,USC00468345-162,USC00468345-1,WV S CHARLESTON LOCK 6,182,231,4,1,162
USC00468351,USC00468351-161,USC00468351-1,WV SOUTHSIDE 3 NNW,176,231,4,1,161
USC00468384,USC00468384-161,USC00468384-1,WV SPENCER  HCN,296,231,4,1,161
USC00468409,USC00468409-161,USC00468409-1,WV SPRINGFIELD 1 N,244,231,4,1,161
USC00468432,USC00468432-161,USC00468432-1,WV SPRUCE KNOB,1388,231,4,1,161
USC00468433,USC00468433-161,USC00468433-1,WV SPRUCE KNOB,930,231,4,1,161
USC00468522,USC00468522-161,USC00468522-1,WV STONEWALL JACKSON DAM,319,231,4,1,161
USC00468536,USC00468536-161,USC00468536-1,WV STONY RIVER DAM,1037,231,4,1,161
USC00468538,USC00468538-161,USC00468538-1,WV STONY RIVER DAM 2,991,231,4,1,161
USC00468580,USC00468580-161,USC00468580-1,WV SUGARCAMP RUN,360,231,4,1,161
USC00468589,USC00468589-161,USC00468589-1,WV SUGAR GROVE 4 NNE,533,231,4,1,161
USC00468608,USC00468608-161,USC00468608-1,WV SUMMERSVILLE,589,231,4,1,161
USC00468614,USC00468614-161,USC00468614-1,WV SUMMERSVILLE LAKE,539,231,4,1,161
USC00468652,USC00468652-161,USC00468652-1,WV SUTTON,275,231,4,1,161
USC00468662,USC00468662-161,USC00468662-1,WV SUTTON LAKE,265,231,4,1,161
USC00468667,USC00468667-161,USC00468667-1,WV SUTTON 3 SE,412,231,4,1,161
USC00468699,USC00468699-161,USC00468699-1,WV SYCAMORE CREEK,305,231,4,1,161
USC00468730,USC00468730-162,USC00468730-1,WV TANNERY,-999,231,4,1,162
USC00468777,USC00468777-161,USC00468777-1,WV TERRA ALTA #1,802,231,4,1,161
USC00468782,USC00468782-161,USC00468782-1,WV TERRA ALTA,790,231,4,1,161
USC00468807,USC00468807-161,USC00468807-1,WV THOMAS,917,231,4,1,161
