Station_ID	Record_number	Station_name	Longitude	Latitude	Elevation	Country	Data_start	Data_end	Observed_variable	Data_policy
FMM00091338	1	SATAWAN ATOLL AWS  CAROLINE IS	153.73	5.33	2	Federated States of Micronesia	1973	2001	{mslp, td, ws, t, slp, wd}	non_commercial
LAA00487470	2	SAVANNAKHET	104.75	16.55	155	Laos	2002	2003	{td, ws, t, wd, slp, mslp}	non_commercial
LAA00487470	1	SAVANNAKHET	104.75	16.55	155	Laos	2023	2024	{ws, mslp, td, t, slp, wd}	non_commercial
LAI0000VLSK	1	SAVANNAKHET	104.76	16.56	155.1	Laos	1968	2024	{td, t, slp, mslp, ws, wd}	non_commercial
FIM00002778	1	SAVONLINNA PUNKAHARJU	29.32	61.8	79.5	Finland	2008	2024	{t, td, slp, mslp}	open_access
GMA00104550	1	SCHIERKE (AUT)	10.67	51.77	617	Germany	1991	2002	{ws, t, wd, mslp, slp, td}	open_access
GMM00010035	1	SCHLESWIG	9.55	54.53	43	Germany	1951	2020	{t, mslp, td, slp}	open_access
GMMU0010035	1	SCHLESWIG GERMANY	9.55	54.53	44	Germany	1959	1971	{t, mslp, td}	open_access
GMI0000EDDB	2	SCHONEFELD	13.52	52.38	47.8	Germany	1940	2024	{ws, wd, mslp, t, td, slp}	open_access
GMI0000EDDB	4	SCHONEFELD	13.52	52.38	47.8	Germany	1956	1960	{mslp}	open_access
GMI0000EDDB	1	SCHONEFELD	13.52	52.38	47.8	Germany	1973	2020	{t, td, mslp, slp}	open_access
AUI0000LOXS	1	SCHWAZ (HELIPORT)	11.7	47.33	543	Austria	1976	2002	{td, ws, t, mslp, wd, slp}	non_commercial
GMN00004625	2	SCHWERIN	11.39	53.64	59	Germany	1900	2007	{slp, mslp, td}	open_access
GMN00004625	1	SCHWERIN	11.39	53.64	59	Germany	1900	2020	{slp, t, td, mslp}	open_access
GMN00004625	3	SCHWERIN	11.39	53.64	59	Germany	1952	1960	{td, mslp}	open_access
GMMU0010162	1	SCHWERIN GERMANY	11.42	53.63	59	Germany	1900	2007	{slp}	open_access
GMMU0010162	2	SCHWERIN GERMANY	11.42	53.63	59	Germany	1900	2007	{slp, td, mslp, t}	open_access
RPM00098430	2	SCIENCE GARDEN	121.05	14.65	46	Philippines	1867	2024	{mslp, slp, t, td, ws, wd}	open_access
RPM00098430	1	SCIENCE GARDEN	121.05	14.65	46	Philippines	1945	2024	{mslp, td, ws, t, wd, slp}	non_commercial
AUM00011119	1	SEEFELD	11.18	47.32	1183.7	Austria	1967	2024	{td, wd, ws, t, mslp, slp}	non_commercial
AUMU0011119	2	SEEFELD AUSTRIA	11.2	47.33	1204	Austria	1967	1969	{td, t, mslp}	non_commercial
AUMU0011119	1	SEEFELD AUSTRIA	11.2	47.33	1204	Austria	2020	2024	{wd, t, ws, slp, td}	non_commercial
BCI0000FBSP	1	SELEBI PHIKWE	27.83	-22.06	891.5	Botswana	2004	2024	{td, ws, wd, t}	non_commercial
BCM00068070	2	SELEBI-PHIKWE	27.82	-22.05	892	Botswana	2001	2024	{ws, t, wd, td, slp, mslp}	non_commercial
BCM00068070	1	SELEBI-PHIKWE	27.82	-22.05	892	Botswana	2023	2024	{ws, t, wd, td}	non_commercial
SNI0000WSSL	1	SELETAR	103.87	1.42	11	Singapore	2004	2024	{td, t, ws, wd}	non_commercial
KZM00036177	2	SEMIPALATINSK	80.3	50.42	196	Kazakhstan	1901	1990	{slp, mslp}	open_access
KZM00036177	1	SEMIPALATINSK	80.3	50.42	196	Kazakhstan	1932	2024	{t, wd, ws, mslp, td, slp}	non_commercial
KZMU0020118	2	SEMIPALATINSK USSR	80.22	50.4	202	Kazakhstan	1932	1937	{t, mslp}	non_commercial
KZMU0020118	1	SEMIPALATINSK USSR	80.22	50.4	202	Kazakhstan	2023	2024	{t, slp, mslp, wd, ws, td}	non_commercial
KSI0000RKTP	1	SEOSAN AB	126.49	36.7	11.9	Korea, South	1998	2024	{td, t, wd, ws, mslp, slp}	non_commercial
KSM00047149	3	SEOSAN AB	126.48	36.68	12	Korea, South	1995	2007	{td, ws, t, wd, mslp, slp}	non_commercial
KSM00047149	1	SEOSAN AB	126.48	36.68	12	Korea, South	2023	2024	{mslp, ws, t, wd, td}	non_commercial
ECI0000SEGS	1	SEYMOUR	-90.27	-0.45	63.1	Ecuador	1942	2024	{td, ws, wd, t, mslp, slp}	non_commercial
ECU084001-1	3	SEYMOURAEROPUERTO	-90.28	-0.45	16	Ecuador	2009	2009	{slp, mslp}	open_access
ECU084001-1	1	SEYMOURAEROPUERTO	-90.28	-0.45	16	Ecuador	2023	2024	{td, ws, t, wd, mslp, slp}	non_commercial
IRU040766-2	2	SHAHIDASHRAFIESFAH	47.15	34.35	1322	Iran	2008	2010	{mslp, slp}	open_access
IRU040766-2	1	SHAHIDASHRAFIESFAH	47.15	34.35	1322	Iran	2023	2024	{td, ws, t, wd}	non_commercial
UKI0000EGOS	2	SHAWBURY	-2.67	52.8	75.9	United Kingdom	1973	2024	{td, ws, t, wd, mslp, slp}	open_access
UKI0000EGOS	1	SHAWBURY	-2.67	52.8	75.9	United Kingdom	1973	2024	{t, wd, td, ws, mslp, slp}	open_access
UKM00003415	3	SHAWBURY (SAWS)	-2.68	52.8	74	United Kingdom	1988	1995	{wd, td, mslp, t, ws}	open_access
UKM00003415	1	SHAWBURY (SAWS)	-2.68	52.8	74	United Kingdom	2023	2024	{slp, mslp, wd, ws, t, td}	open_access
UKM00003415	2	SHAWBURY (SAWS)	-2.68	52.8	74	United Kingdom	2023	2024	{slp, mslp, wd, td, t, ws}	open_access
INM00042516	1	SHILLONG	91.88	25.57	1598	India	1944	2024	{td, ws, t, mslp, wd, slp}	non_commercial
INMU0020468	2	SHILLONG INDIA	91.88	25.57	1500	India	1944	1948	{td, t}	non_commercial
INMU0020468	1	SHILLONG INDIA	91.88	25.57	1500	India	2023	2024	{td, t, ws, slp, wd, mslp}	non_commercial
JAN00067116	2	SHOBARA	133.02	34.86	300	Japan	2005	2005	{td, t, mslp, ws}	non_commercial
JAN00067116	1	SHOBARA	133.02	34.86	300	Japan	2005	2005	{td, t, mslp, ws}	open_access
JAA00473460	1	SHOBARA-IN-CHUGOKU	133.03	34.87	300	Japan	2005	2005	{td, t, mslp, ws}	non_commercial
UKI0000EGKA	1	SHOREHAM	-0.3	50.84	2.1	United Kingdom	1986	2024	{mslp, ws, wd, t, td, slp}	open_access
UKA00038793	2	SHOREHAM-BY-SEA	-0.27	50.82	18	United Kingdom	1973	1990	{td, t, mslp, ws, wd, slp}	open_access
UKA00038793	1	SHOREHAM-BY-SEA	-0.27	50.82	18	United Kingdom	2023	2024	{td, t, slp, ws, mslp, wd}	open_access
CBI0000VDSV	1	SIHANUKVILLE	103.64	10.58	10.1	Cambodia	2018	2024	{ws, wd, t, td}	non_commercial
INA00426201	2	SILCHAR	92.98	24.92	97	India	1986	1991	{td, wd, t, mslp, ws, slp}	non_commercial
INA00426201	1	SILCHAR	92.98	24.92	97	India	2023	2024	{t, td, ws, wd}	non_commercial
INI0000VEKU	1	SILCHAR	92.98	24.91	107.3	India	2016	2024	{td, t, ws, wd}	non_commercial
ECI0000SEGU	1	SIMON BOLIVAR INTL	-79.88	-2.16	5.8	Ecuador	1977	2024	{td, slp, mslp, t, wd, ws}	non_commercial
DAA00060335	2	SINDAL	10.22	57.47	28	Denmark	1977	1977	{t, wd, ws, td}	non_commercial
DAA00060335	1	SINDAL	10.22	57.47	28	Denmark	2023	2023	{t, slp, td, ws, wd, mslp}	non_commercial
DAI0000EKSN	1	SINDAL	10.23	57.5	28	Denmark	1982	2023	{ws, wd, td, slp, t, mslp}	non_commercial
SNM00048692	4	SINGAPORE/SELETAR	103.88	1.42	14	Singapore	1962	1965	{td, t, wd, ws, mslp}	non_commercial
SNM00048692	1	SINGAPORE/SELETAR	103.88	1.42	14	Singapore	2023	2024	{td, t, ws, wd}	non_commercial
SNM00048692	2	SINGAPORE/SELETAR	103.88	1.42	14	Singapore	2023	2024	{td, ws, wd, t}	non_commercial
SUA00627731	1	SINJAH	33.95	13.15	429	Sudan	1949	1952	{td, mslp, ws, t, wd}	non_commercial
SFI0000FASS	1	SISHEN	23	-27.65	1172.9	South Africa	1999	2015	{td, wd, ws, t}	non_commercial
BUM00015640	1	SLIVEN	26.33	42.67	257	Bulgaria	1953	2024	{td, t, ws, wd, mslp, slp}	non_commercial
BUMU0015640	3	SLIVEN BULGARIA	26.27	42.68	226	Bulgaria	1953	1967	{td, t, mslp}	non_commercial
BUMU0015640	1	SLIVEN BULGARIA	26.27	42.68	226	Bulgaria	2023	2024	{slp, td, t, ws, mslp, wd}	non_commercial
BUMU0015640	2	SLIVEN BULGARIA	26.27	42.68	226	Bulgaria	2023	2024	{t, td, mslp, ws, slp, wd}	non_commercial
MUI0000OOSH	1	SOHAR MAJIS	56.63	24.47	4	Oman	1980	2024	{td, t, ws, wd, mslp, slp}	non_commercial
MUI0000OOSH	2	SOHAR MAJIS	56.63	24.47	4	Oman	2004	2004	{mslp, slp}	open_access
MUM00041246	2	SOHAR MAJIS	56.65	24.47	2	Oman	2020	2024	{t, ws, td, wd, slp, mslp}	non_commercial
MUM00041246	1	SOHAR MAJIS	56.65	24.47	2	Oman	2023	2024	{ws, td, wd, t}	non_commercial
FRI0000LFKS	1	SOLENZARA	9.41	41.92	8.5	France	1961	2024	{t, td, mslp, ws, wd, slp}	open_access
FRI0000LFKS	2	SOLENZARA	9.41	41.92	8.5	France	1973	2024	{ws, wd, slp, td, mslp, t}	open_access
GMMU0010722	1	SOLLINGEN GERMANY RCAF STA	8.1	48.8	137	Germany	1955	1963	{mslp, t, td}	open_access
GMMU0010558	1	SONNEBERG GERMANY	11.18	50.38	630	Germany	1952	1960	{td, t}	open_access
GMN00004752	1	SONNEBERG-NEUFANG	11.18	50.37	626	Germany	1951	2008	{t, td, mslp, slp}	open_access
GMN00004752	2	SONNEBERG-NEUFANG	11.18	50.37	626	Germany	1952	1960	{td}	open_access
FRI0000LFBN	1	SOUCHE	-0.4	46.31	61.9	France	1986	2024	{t, mslp, wd, ws, td, slp}	open_access
SFM00068820	1	SOUTH AFRICAN ASTRONOMICAL OBS	18.48	-33.93	15	South Africa	2020	2020	{wd, slp, ws, t, td}	non_commercial
SFM00068820	2	SOUTH AFRICAN ASTRONOMICAL OBS	18.48	-33.93	15	South Africa	2020	2020	{td, wd, slp, t, ws}	open_access
BFI0000MYBS	1	SOUTH BIMINI	-79.26	25.7	3	Bahamas, The	1973	2023	{td, t, mslp, wd, ws, slp}	non_commercial
BFM00078069	2	SOUTH BIMINI  BINIMI	-79.25	25.7	3	Bahamas, The	2009	2009	{td, t, mslp, wd, ws}	non_commercial
BFM00078069	1	SOUTH BIMINI  BINIMI	-79.25	25.7	3	Bahamas, The	2023	2023	{td, t, mslp, wd, ws}	non_commercial
HRA00133340	1	SPLIT/MARJAN	16.43	43.52	128	Croatia	1931	2024	{td, wd, ws, t, mslp, slp}	non_commercial
HRA00133340	3	SPLIT/MARJAN	16.43	43.52	128	Croatia	1931	1938	{mslp, t}	non_commercial
HRA00133340	5	SPLIT/MARJAN	16.43	43.52	128	Croatia	1949	1984	{t, slp}	open_access
HRA00133340	4	SPLIT/MARJAN	16.43	43.52	128	Croatia	1961	1962	{mslp, td, t}	non_commercial
HRA00133340	2	SPLIT/MARJAN	16.43	43.52	128	Croatia	2023	2024	{ws, td, t, wd, mslp, slp}	non_commercial
HRM00014445	1	SPLIT/MARJAN	16.43	43.52	128	Croatia	1996	2024	{ws, wd, td, t, mslp, slp}	non_commercial
UKA00033961	1	SPURN HEAD (POINT)	0.12	53.57	7	United Kingdom	1929	2024	{td, t, mslp, wd, ws, slp}	open_access
UKA00033961	4	SPURN HEAD (POINT)	0.12	53.57	7	United Kingdom	1929	1939	{td, t, mslp}	open_access
MYI0000WBGY	1	SRI AMAN / SIMANGGAN	111.45	1.22	11	Malaysia	2004	2024	{td, ws, t, wd, mslp}	non_commercial
MYM00096418	1	SRI AMAN/SIMANGGANG	111.45	1.22	10	Malaysia	2004	2024	{td, ws, t, wd, mslp}	non_commercial
INI0000VISR	1	SRINAGAR	74.77	33.99	1654.8	India	2015	2024	{td, ws, t, wd}	non_commercial
INM00042042	2	SRINAGAR	74.78	33.98	1664	India	1973	2024	{mslp, ws, td, t, wd, slp}	non_commercial
INM00042042	1	SRINAGAR	74.78	33.98	1664	India	2023	2024	{ws, td, t, wd}	non_commercial
SZI0000LSZR	1	ST GALLEN ALTENRHEIN	9.56	47.49	398.1	Switzerland	2004	2024	{td, ws, t, wd}	non_commercial
FGI0000SOOM	1	ST LAURENT DU MARON	-54.03	5.5	9	French Guiana [France]	1973	2024	{td, mslp, t, wd, ws, slp}	non_commercial
SZA00067931	2	ST. MORITZ	9.87	46.5	1720	Switzerland	2001	2001	{mslp, t, td, wd, ws}	non_commercial
SZA00067931	1	ST. MORITZ	9.87	46.5	1720	Switzerland	2023	2024	{t, td, ws, wd, slp}	non_commercial
SZA00067931	3	ST. MORITZ	9.87	46.5	1720	Switzerland	2023	2024	{ws, wd, slp, td, t}	non_commercial
FKI0000SFAL	5	STANLEY	-57.78	-51.69	22.9	Falkland Islands (Islas Malvinas) [United Kingdom]	1859	1899	{mslp}	open_access
FKI0000SFAL	6	STANLEY	-57.78	-51.69	22.9	Falkland Islands (Islas Malvinas) [United Kingdom]	1862	1868	{mslp}	open_access
FKI0000SFAL	2	STANLEY	-57.78	-51.69	22.9	Falkland Islands (Islas Malvinas) [United Kingdom]	1879	1880	{mslp}	open_access
FKI0000SFAL	3	STANLEY	-57.78	-51.69	22.9	Falkland Islands (Islas Malvinas) [United Kingdom]	1899	1901	{mslp}	open_access
FKI0000SFAL	4	STANLEY	-57.78	-51.69	22.9	Falkland Islands (Islas Malvinas) [United Kingdom]	1901	1941	{mslp}	open_access
FKI0000SFAL	7	STANLEY	-57.78	-51.69	22.9	Falkland Islands (Islas Malvinas) [United Kingdom]	1941	1948	{mslp}	open_access
FKI0000SFAL	1	STANLEY	-57.78	-51.69	22.9	Falkland Islands (Islas Malvinas) [United Kingdom]	1984	2024	{mslp, td, t, ws, wd}	non_commercial
FKM00088892	2	STANLEY	-57.87	-51.68	10	Falkland Islands (Islas Malvinas) [United Kingdom]	2007	2009	{td, mslp, t, ws, wd}	non_commercial
FKM00088892	1	STANLEY	-57.87	-51.68	10	Falkland Islands (Islas Malvinas) [United Kingdom]	2023	2024	{td, wd, t, ws}	non_commercial
LGA00263101	1	STENDE	22.47	57.17	70	Latvia	1955	2024	{td, wd, t, ws, mslp, slp}	non_commercial
LGA00263101	3	STENDE	22.47	57.17	70	Latvia	1959	1992	{mslp, slp}	open_access
LGA00263101	4	STENDE	22.47	57.17	70	Latvia	1959	1971	{mslp, td, t}	non_commercial
LGA00263101	2	STENDE	22.47	57.17	70	Latvia	2023	2024	{wd, t, mslp, ws, td, slp}	non_commercial
LGM00026318	2	STENDE	22.55	57.18	79	Latvia	1955	2024	{mslp, t, td, ws, wd, slp}	non_commercial
LGM00026318	1	STENDE	22.55	57.18	79	Latvia	1959	2024	{mslp, td, wd, ws, t, slp}	non_commercial
AYM00089961	1	STONINGTON	-67.02	-68.18	14	Antarctica	1976	1978	{td, ws, t, wd, mslp}	non_commercial
