observation_id,data_policy_licence,date_time,date_time_meaning,observation_duration,longitude,latitude,report_type,height_above_surface,observed_variable,units,observation_value,value_significance,platform_type,station_type,primary_station_id,station_name,quality_flag,source_id
GM000002698-4-1899-02-85-1,Open,1899-02-01 00:00:00+00:00,beginning,monthly,8.365,49.039,CLIMAT,2.0,air_temperature,K,272.52,Minimum value over indicated period,,Land station,GM000002698,KARLSRUHE,Passed,229
GM000002698-4-1899-03-85-0,Open,1899-03-01 00:00:00+00:00,beginning,monthly,8.365,49.039,CLIMAT,2.0,air_temperature,K,283.72,Maximum value over indicated period,,Land station,GM000002698,KARLSRUHE,Passed,229
GM000002698-4-1899-03-85-1,Open,1899-03-01 00:00:00+00:00,beginning,monthly,8.365,49.039,CLIMAT,2.0,air_temperature,K,273.08,Minimum value over indicated period,,Land station,GM000002698,KARLSRUHE,Passed,229
GM000002698-4-1899-04-85-0,Open,1899-04-01 00:00:00+00:00,beginning,monthly,8.365,49.039,CLIMAT,2.0,air_temperature,K,286.56,Maximum value over indicated period,,Land station,GM000002698,KARLSRUHE,Passed,229
GM000002698-4-1899-04-85-1,Open,1899-04-01 00:00:00+00:00,beginning,monthly,8.365,49.039,CLIMAT,2.0,air_temperature,K,279.02,Minimum value over indicated period,,Land station,GM000002698,KARLSRUHE,Passed,229
GM000002698-4-1899-05-85-0,Open,1899-05-01 00:00:00+00:00,beginning,monthly,8.365,49.039,CLIMAT,2.0,air_temperature,K,291.26,Maximum value over indicated period,,Land station,GM000002698,KARLSRUHE,Passed,229
GM000002698-4-1899-05-85-1,Open,1899-05-01 00:00:00+00:00,beginning,monthly,8.365,49.039,CLIMAT,2.0,air_temperature,K,281.67,Minimum value over indicated period,,Land station,GM000002698,KARLSRUHE,Passed,229
GM000002698-4-1899-06-85-0,Open,1899-06-01 00:00:00+00:00,beginning,monthly,8.365,49.039,CLIMAT,2.0,air_temperature,K,296.33,Maximum value over indicated period,,Land station,GM000002698,KARLSRUHE,Passed,229
GM000002698-4-1899-06-85-1,Open,1899-06-01 00:00:00+00:00,beginning,monthly,8.365,49.039,CLIMAT,2.0,air_temperature,K,284.29,Minimum value over indicated period,,Land station,GM000002698,KARLSRUHE,Passed,229
GM000002698-4-1899-07-85-0,Open,1899-07-01 00:00:00+00:00,beginning,monthly,8.365,49.039,CLIMAT,2.0,air_temperature,K,297.02,Maximum value over indicated period,,Land station,GM000002698,KARLSRUHE,Passed,229
GM000002698-4-1899-07-85-1,Open,1899-07-01 00:00:00+00:00,beginning,monthly,8.365,49.039,CLIMAT,2.0,air_temperature,K,287.38,Minimum value over indicated period,,Land station,GM000002698,KARLSRUHE,Passed,229
GM000002698-4-1899-08-85-0,Open,1899-08-01 00:00:00+00:00,beginning,monthly,8.365,49.039,CLIMAT,2.0,air_temperature,K,298.38,Maximum value over indicated period,,Land station,GM000002698,KARLSRUHE,Passed,229
GM000002698-4-1899-08-85-1,Open,1899-08-01 00:00:00+00:00,beginning,monthly,8.365,49.039,CLIMAT,2.0,air_temperature,K,286.9,Minimum value over indicated period,,Land station,GM000002698,KARLSRUHE,Passed,229
GM000002698-4-1899-09-85-0,Open,1899-09-01 00:00:00+00:00,beginning,monthly,8.365,49.039,CLIMAT,2.0,air_temperature,K,291.78,Maximum value over indicated period,,Land station,GM000002698,KARLSRUHE,Passed,229
GM000002698-4-1899-09-85-1,Open,1899-09-01 00:00:00+00:00,beginning,monthly,8.365,49.039,CLIMAT,2.0,air_temperature,K,285.04,Minimum value over indicated period,,Land station,GM000002698,KARLSRUHE,Passed,229
GM000002698-4-1899-10-85-0,Open,1899-10-01 00:00:00+00:00,beginning,monthly,8.365,49.039,CLIMAT,2.0,air_temperature,K,287.3,Maximum value over indicated period,,Land station,GM000002698,KARLSRUHE,Passed,229
