Station_id,primary_station_id_2,primary_station_id_3,record_number,data_policy_licence,region,sub_region,elevation,Station_name,source,,
AEU038328-1,38328-1-286,AEU038328-1-286,1,0,124,2,604,SHYMKENT,286,,
AFM00038930,WMO38930-1-220,AFM00038930-220,2,1,2,2,319,AJVADZ,220,,
AFM00038930,WMO38930-2-220,AFM00038930-220,3,1,2,2,319,AJVADZ,220,,
AFM00040908,WMO40908-3-220,AFM00040908-220,1,1,2,2,360,SHEBIRGHAN 40908,220,,
AFM00040908,WMO40908-2-220,AFM00040908-220,2,1,2,2,360,SHEBIRGHAN 40908,220,,
AFM00040908,WMO40908-1-220,AFM00040908-220,3,1,2,2,360,SHEBIRGHAN 40908,220,,
AFM00040913,WMO40913-7-220,AFM00040913-220,1,1,2,2,433,KUNDUZ 40913,220,,
AFM00040913,WMO40913-6-220,AFM00040913-220,2,1,2,2,433,KUNDUZ 40913,220,,
AFM00040913,WMO40913-5-220,AFM00040913-220,3,1,2,2,433,KUNDUZ 40913,220,,
AFM00040913,WMO40913-4-220,AFM00040913-220,4,1,2,2,433,KUNDUZ 40913,220,,
AFM00040913,WMO40913-3-220,AFM00040913-220,5,1,2,2,433,KUNDUZ 40913,220,,
AFM00040913,WMO40913-2-220,AFM00040913-220,6,1,2,2,433,KUNDUZ 40913,220,,
AFM00040913,WMO40913-1-220,AFM00040913-220,7,1,2,2,433,KUNDUZ 40913,220,,
AFM00040916,WMO40916-3-220,AFM00040916-220,1,1,2,2,300,HAIRATAN 40916,220,,
AFM00040916,WMO40916-2-220,AFM00040916-220,2,1,2,2,300,HAIRATAN 40916,220,,
AFM00040916,WMO40916-1-220,AFM00040916-220,3,1,2,2,300,HAIRATAN 40916,220,,
AFM00040921,WMO40921-2-220,AFM00040921-220,1,1,220,2,680,TURGHUNDI 40921,220,,
AFM00040921,WMO40921-1-220,AFM00040921-220,2,1,220,2,680,TURGHUNDI 40921,220,,
AFM00040922,WMO40922-7-220,AFM00040922-220,1,1,2,2,815,MIMANA 40922,220,,
AFM00040922,WMO40922-6-220,AFM00040922-220,2,1,2,2,815,MIMANA 40922,220,,
AFM00040922,WMO40922-5-220,AFM00040922-220,3,1,2,2,815,MIMANA 40922,220,,
AFM00040922,WMO40922-4-220,AFM00040922-220,4,1,2,2,815,MIMANA 40922,220,,
AFM00040922,WMO40922-3-220,AFM00040922-220,5,1,2,2,815,MIMANA 40922,220,,
AFM00040922,WMO40922-2-220,AFM00040922-220,6,1,2,2,815,MIMANA 40922,220,,
AFM00040922,WMO40922-1-220,AFM00040922-220,7,1,2,2,815,MIMANA 40922,220,,
AFM00040923,WMO40923-3-220,AFM00040923-220,1,1,2,2,470,BALA-MOORGHAB 40923,220,,
AFM00040923,WMO40923-2-220,AFM00040923-220,2,1,2,2,470,BALA-MOORGHAB 40923,220,,
AFM00040923,WMO40923-1-220,AFM00040923-220,3,1,2,2,470,BALA-MOORGHAB 40923,220,,
AFM00040925,WMO40925-1-220,AFM00040925-220,2,1,2,2,1300,QAISAR 40925,220,,
AFM00040930,WMO40930-3-220,AFM00040930-220,2,1,2,2,3366,NORTH-SALANG 40930,220,,
AFM00040930,WMO40930-2-220,AFM00040930-220,3,1,2,2,3366,NORTH-SALANG 40930,220,,
AFM00040930,WMO40930-1-220,AFM00040930-220,4,1,2,2,3366,NORTH-SALANG 40930,220,,
AFM00040930,WMO40930-4-220,AFM00040930-220,5,1,2,2,3366,NORTH-SALANG 40930,220,,
AFM00040931,WMO40931-2-220,AFM00040931-220,1,1,2,2,3172,SOUTH-SALANG 40931,220,,
AFM00040931,WMO40931-1-220,AFM00040931-220,2,1,2,2,3172,SOUTH-SALANG 40931,220,,
AFM00040935,WMO40935-3-220,AFM00040935-220,1,1,2,2,800,ISLAM-QALA 40935,220,,
AFM00040935,WMO40935-2-220,AFM00040935-220,2,1,2,2,800,ISLAM-QALA 40935,220,,
AFM00040935,WMO40935-1-220,AFM00040935-220,3,1,2,2,800,ISLAM-QALA 40935,220,,
AFM00040940,WMO40940-2-220,AFM00040940-220,1,1,2,2,1298,OBE 40940,220,,
AFM00040940,WMO40940-1-220,AFM00040940-220,2,1,2,2,1298,OBE 40940,220,,
AFM00040949,WMO40949-1-220,AFM00040949-220,2,1,2,2,1905,KARIZIMIR 40949,220,,
AFM00040950,WMO40950-3-220,AFM00040950-220,2,1,2,2,1935,LOGAR 40950,220,,
AFM00040950,WMO40950-2-220,AFM00040950-220,3,1,2,2,1935,LOGAR 40950,220,,
AFM00040950,WMO40950-1-220,AFM00040950-220,4,1,2,2,1935,LOGAR 40950,220,,
AFM00040976,WMO40976-2-220,AFM00040976-220,1,1,2,2,1000,KAJAKI 40976,220,,
AFM00040976,WMO40976-1-220,AFM00040976-220,2,1,2,2,1000,KAJAKI 40976,220,,
AFM00040977,WMO40977-9-220,AFM00040977-220,1,1,2,2,1350,TIRIN KOT 40977,220,,
AFM00040977,WMO40977-8-220,AFM00040977-220,2,1,2,2,1350,TIRIN KOT 40977,220,,
AFM00040977,WMO40977-7-220,AFM00040977-220,3,1,2,2,1350,TIRIN KOT 40977,220,,
AFM00040977,WMO40977-6-220,AFM00040977-220,4,1,2,2,1350,TIRIN KOT 40977,220,,
AFM00040977,WMO40977-5-220,AFM00040977-220,5,1,2,2,1350,TIRIN KOT 40977,220,,
AFM00040977,WMO40977-4-220,AFM00040977-220,6,1,2,2,1350,TIRIN KOT 40977,220,,
AFM00040977,WMO40977-3-220,AFM00040977-220,7,1,2,2,1350,TIRIN KOT 40977,220,,
AFM00040977,WMO40977-2-220,AFM00040977-220,8,1,2,2,1350,TIRIN KOT 40977,220,,
AFM00040977,WMO40977-1-220,AFM00040977-220,9,1,2,2,1350,TIRIN KOT 40977,220,,
AFM00040980,WMO40980-3-220,AFM00040980-220,1,1,2,2,2000,MOKUR 40980,220,,
AFM00040980,WMO40980-2-220,AFM00040980-220,2,1,2,2,2000,MOKUR 40980,220,,
AFM00040980,WMO40980-1-220,AFM00040980-220,3,1,2,2,2000,MOKUR 40980,220,,
AFM00040980,WMO40980-4-220,AFM00040980-220,4,1,2,2,2000,MOKUR 40980,220,,
AFM00040984,WMO40984-9-220,AFM00040984-220,1,1,2,2,2262,URGOON 40984,220,,
AFM00040984,WMO40984-8-220,AFM00040984-220,2,1,2,2,2262,URGOON 40984,220,,
AFM00040984,WMO40984-7-220,AFM00040984-220,3,1,2,2,2262,URGOON 40984,220,,
AFM00040984,WMO40984-6-220,AFM00040984-220,4,1,2,2,2262,URGOON 40984,220,,
AFM00040984,WMO40984-5-220,AFM00040984-220,5,1,2,2,2262,URGOON 40984,220,,
AFM00040984,WMO40984-4-220,AFM00040984-220,6,1,2,2,2262,URGOON 40984,220,,
AFM00040984,WMO40984-3-220,AFM00040984-220,7,1,2,2,2262,URGOON 40984,220,,
AFM00040984,WMO40984-21-220,AFM00040984-220,8,1,2,2,2262,URGOON 40984,220,,
AFM00040984,WMO40984-20-220,AFM00040984-220,9,1,2,2,2262,URGOON 40984,220,,
AFM00040984,WMO40984-2-220,AFM00040984-220,10,1,2,2,2262,URGOON 40984,220,,
AFM00040984,WMO40984-19-220,AFM00040984-220,11,1,2,2,2262,URGOON 40984,220,,
AFM00040984,WMO40984-18-220,AFM00040984-220,12,1,2,2,2262,URGOON 40984,220,,
AFM00040984,WMO40984-17-220,AFM00040984-220,13,1,2,2,2262,URGOON 40984,220,,
AFM00040984,WMO40984-16-220,AFM00040984-220,14,1,2,2,2262,URGOON 40984,220,,
AFM00040984,WMO40984-15-220,AFM00040984-220,15,1,2,2,2262,URGOON 40984,220,,
AFM00040984,WMO40984-14-220,AFM00040984-220,16,1,2,2,2262,URGOON 40984,220,,
AFM00040984,WMO40984-13-220,AFM00040984-220,17,1,2,2,2262,URGOON 40984,220,,
AFM00040984,WMO40984-12-220,AFM00040984-220,18,1,2,2,2262,URGOON 40984,220,,
AFM00040984,WMO40984-11-220,AFM00040984-220,19,1,2,2,2262,URGOON 40984,220,,
AFM00040984,WMO40984-10-220,AFM00040984-220,20,1,2,2,2262,URGOON 40984,220,,
AFM00040984,WMO40984-1-220,AFM00040984-220,21,1,2,2,2262,URGOON 40984,220,,
AFM00040984,WMO40984-22-220,AFM00040984-220,22,1,2,2,2262,URGOON 40984,220,,
AFM00040996,WMO40996-3-220,AFM00040996-220,1,1,2,2,590,DESHOO 40996,220,,
AFM00040996,WMO40996-2-220,AFM00040996-220,2,1,2,2,590,DESHOO 40996,220,,
AFM00040996,WMO40996-1-220,AFM00040996-220,3,1,2,2,590,DESHOO 40996,220,,
