station_id,record_id,primary_station_id_2,primary_station_id_3,station_name,height_of_station_above_sea_level,sub_region,region,source_id
AJ000037661,1,AJ000037661-1,AJ000037661-166,SHAKI,641,16,6,166
AJ000037668,1,AJ000037668-1,AJ000037668-232,VARTASHEN,583,16,6,232
AJ000037673,1,AJ000037673-1,AJ000037673-232,HACMAS,27,16,6,232
AJ000037674,1,AJ000037674-1,AJ000037674-232,KRIC,999,16,6,232
AJ000037675,1,AJ000037675-1,AJ000037675-166,GUBA,552,16,6,166
AJ000037679,1,AJ000037679-1,AJ000037679-232,SIASAN',-26,16,6,232
AJ000037729,1,AJ000037729-1,AJ000037729-232,KEDABEK,1476,16,6,232
AJ000037734,1,AJ000037734-1,AJ000037734-232,SHAMHOR,404,16,6,232
AJ000037735,1,AJ000037735-1,AJ000037735-166,GANCA,311,16,6,166
AJ000037740,1,AJ000037740-1,AJ000037740-166,QABALA,682,16,6,166
AJ000037742,1,AJ000037742-1,AJ000037742-232,"ORDJONIKIDZE,ZERNOSOVHOZ",313,16,6,232
AJ000037744,1,AJ000037744-1,AJ000037744-166,MINGACHEVIR,94,16,6,166
AJ000037747,1,AJ000037747-1,AJ000037747-166,EVLAKH AIRPORT,15,16,6,166
AJ000037749,1,AJ000037749-1,AJ000037749-166,GOYCHAY,95,16,6,166
AJ000037753,1,AJ000037753-1,AJ000037753-166,ALTIAGACH,1082,16,6,166
AJ000037756,1,AJ000037756-1,AJ000037756-166,MARAZA,755,16,6,166
AJ000037759,1,AJ000037759-1,AJ000037759-166,SHAMAKHY,892,16,6,166
AJ000037769,1,AJ000037769-1,AJ000037769-166,SUMGAIT,-19,16,6,166
AJ000037813,1,AJ000037813-1,AJ000037813-232,GEYGEL',12,16,6,232
AJ000037816,1,AJ000037816-1,AJ000037816-232,DASHKESAN,1655,16,6,232
AJ000037825,1,AJ000037825-1,AJ000037825-232,GEYGEL'-KURORT,1612,16,6,232
AJ000037831,1,AJ000037831-1,AJ000037831-232,MIR-BASHIR,160,16,6,232
AJ000037832,1,AJ000037832-1,AJ000037832-232,BARDA,69,16,6,232
AJ000037835,1,AJ000037835-1,AJ000037835-232,ZARDOB,-5,16,6,232
AJ000037844,1,AJ000037844-1,AJ000037844-166,KURDAMIR,4,16,6,166
AJ000037849,1,AJ000037849-1,AJ000037849-166,GAZIMAMMAD AERODROM,-5,16,6,166
AJ000037850,1,AJ000037850-1,AJ000037850-232,BAKU,47,16,6,232
AJ000037860,1,AJ000037860-1,AJ000037860-166,MASHTAGA,28,16,6,166
AJ000037861,1,AJ000037861-1,AJ000037861-232,NEFT'JNIE,-15,16,6,232
AJ000037866,1,AJ000037866-1,AJ000037866-166,PIRALLAHI,-24,16,6,166
AJ000037869,1,AJ000037869-1,AJ000037869-232,"JILOY,OSTROV",-17,16,6,232
AJ000037883,1,AJ000037883-1,AJ000037883-232,ISTISU,2064,16,6,232
AJ000037888,1,AJ000037888-1,AJ000037888-232,"SISIANSKIY,PEREVAL",3282,16,6,232
AJ000037893,1,AJ000037893-1,AJ000037893-232,AGDAM,352,16,6,232
AJ000037895,1,AJ000037895-1,AJ000037895-166,KHANKANDY,828,16,6,166
AJ000037898,1,AJ000037898-1,AJ000037898-232,LACHIN,1152,16,6,232
AJ000037899,1,AJ000037899-1,AJ000037899-166,SHUSHA,1355,16,6,166
AJ000037901,1,AJ000037901-1,AJ000037901-232,MARTUNY,414,16,6,232
AJ000037902,1,AJ000037902-1,AJ000037902-232,"MOL'SKAYA,STEP'",157,16,6,232
AJ000037905,1,AJ000037905-1,AJ000037905-166,BEYLAGAN AERODROME,71,16,6,166
AJ000037907,1,AJ000037907-1,AJ000037907-166,FIZULY,439,16,6,166
AJ000037912,1,AJ000037912-1,AJ000037912-232,DJAFARHAN,-16,16,6,232
AJ000037913,1,AJ000037913-1,AJ000037913-232,SAL'JNY,-20,16,6,232
AJ000037914,1,AJ000037914-1,AJ000037914-232,IMISLY,-1,16,6,232
AJ000037922,1,AJ000037922-1,AJ000037922-232,"SVINOY,OSTROV",-25,16,6,232
AJ000037923,1,AJ000037923-1,AJ000037923-166,ALAT,-16,16,6,166
AJ000037925,1,AJ000037925-1,AJ000037925-166,NEFTCHALA,-24,16,6,166
AJ000037936,1,AJ000037936-1,AJ000037936-166,NAXCIVAN,885,16,6,166
AJ000037941,1,AJ000037941-1,AJ000037941-232,SAHBUZ,1205,16,6,232
AJ000037946,1,AJ000037946-1,AJ000037946-232,PARAGACHAY,3268,16,6,232
AJ000037947,1,AJ000037947-1,AJ000037947-166,JULFA,717,16,6,166
AJ000037957,1,AJ000037957-1,AJ000037957-166,ORDUBAD,787,16,6,166
AJ000037962,1,AJ000037962-1,AJ000037962-232,DJEBRAIL,632,16,6,232
AJ000037968,1,AJ000037968-1,AJ000037968-232,MINDJEVAN,313,16,6,232
AJ000037972,1,AJ000037972-1,AJ000037972-166,BILASUVAR,3,16,6,166
AJ000037978,1,AJ000037978-1,AJ000037978-166,GYOYTAPA,2,16,6,166
AJ000037981,1,AJ000037981-1,AJ000037981-232,JARDIMLY,794,16,6,232
AJ000037984,1,AJ000037984-1,AJ000037984-166,LERIK,1113,16,6,166
AJ000037985,1,AJ000037985-1,AJ000037985-166,LANKARAN,-12,16,6,166
AJ000037989,1,AJ000037989-1,AJ000037989-166,ASTARA,-22,16,6,166
ALE00100939,1,ALE00100939-1,ALE00100939-229,TIRANA,89,5,6,229
ALE00108905,1,ALE00108905-1,ALE00108905-229,SHKODRA,43,5,6,229
ALM00013615,1,ALM00013615-1,ALM00013615-166,TIRANA RINAS,38.4,5,6,166
AM000037608,1,AM000037608-1,AM000037608-232,SHURABAD,2009,6,6,232
AM000037609,1,AM000037609-1,AM000037609-232,GUKASYAN_VERIN,2019,6,6,232
AM000037618,1,AM000037618-1,AM000037618-166,TASHIR,1509,6,6,166
AM000037627,1,AM000037627-1,AM000037627-166,ODZUN,1110,6,6,166
AM000037629,1,AM000037629-1,AM000037629-232,SHNOH,663,6,6,232
AM000037682,1,AM000037682-1,AM000037682-166,AMASIA,1866,6,6,166
AM000037683,1,AM000037683-1,AM000037683-166,JABJUR-IN-ARMENIA,1798,6,6,166
AM000037686,1,AM000037686-1,AM000037686-166,GUMRI,1523,6,6,166
AM000037689,1,AM000037689-1,AM000037689-232,ARTIK,1727,6,6,232
AM000037693,1,AM000037693-1,AM000037693-166,STEPANAVAN,1400,6,6,166
AM000037694,1,AM000037694-1,AM000037694-232,"PUSHKINSKIY,PEREVAL",2061,6,6,232
AM000037695,1,AM000037695-1,AM000037695-166,SPITAK,1555,6,6,166
AM000037698,1,AM000037698-1,AM000037698-232,ANKAVAN,1986,6,6,232
AM000037699,1,AM000037699-1,AM000037699-166,APARAN,1892,6,6,166
AM000037700,1,AM000037700-1,AM000037700-232,ERATUMBER,3103,6,6,232
AM000037704,1,AM000037704-1,AM000037704-166,VANADZOR,1379,6,6,166
AM000037705,1,AM000037705-1,AM000037705-232,LERMONTOVO,1798,6,6,232
AM000037706,1,AM000037706-1,AM000037706-166,DILIJAN,1255,6,6,166
AM000037708,1,AM000037708-1,AM000037708-232,SEMENOVKA,2097,6,6,232
AM000037711,1,AM000037711-1,AM000037711-166,IDJEVAN,733,6,6,166
