primary_station_id_3,primary_station_id_2,station_id,record_number,station_name,longitude,latitude,height_of_station_above_sea_level,sub_region,region,data_policy_licence
USC00026117-120-2,USC00026117-120,USC00026117,2,AZ ORACLE SP,-110.732,32.61,1400.6,231,4,0
USC00026117-160-3,USC00026117-160,USC00026117,3,AZ ORACLE SP,-110.732,32.61,1400.6,231,4,0
USC00026117-161-1,USC00026117-161,USC00026117,1,AZ ORACLE SP,-110.732,32.61,1400.6,231,4,0
USC00026119-120-2,USC00026119-120,USC00026119,2,AZ ORACLE 2 SE,-110.734,32.602,1374.6,231,4,0
USC00026119-161-1,USC00026119-161,USC00026119,1,AZ ORACLE 2 SE,-110.734,32.602,1374.6,231,4,0
USC00026132-120-3,USC00026132-120,USC00026132,3,AZ ORGAN PIPE CACTUS NM,-112.8,31.956,511.5,231,4,0
USC00026132-160-4,USC00026132-160,USC00026132,4,AZ ORGAN PIPE CACTUS NM,-112.8,31.956,511.5,231,4,0
USC00026132-161-1,USC00026132-161,USC00026132,1,AZ ORGAN PIPE CACTUS NM,-112.8,31.956,511.5,231,4,0
USC00026132-162-2,USC00026132-162,USC00026132,2,AZ ORGAN PIPE CACTUS NM,-112.8,31.956,511.5,231,4,0
USC00026180-120-3,USC00026180-120,USC00026180,3,AZ PAGE,-111.448,36.921,1301.5,231,4,0
USC00026180-161-1,USC00026180-161,USC00026180,1,AZ PAGE,-111.448,36.921,1301.5,231,4,0
USC00026180-233-2,USC00026180-233,USC00026180,2,AZ PAGE,-111.448,36.921,1301.5,231,4,0
USC00026190-120-3,USC00026190-120,USC00026190,3,AZ PAINTED DESERT NP,-109.769,35.068,1755.6,231,4,0
USC00026190-161-1,USC00026190-161,USC00026190,1,AZ PAINTED DESERT NP,-109.769,35.068,1755.6,231,4,0
USC00026190-233-2,USC00026190-233,USC00026190,2,AZ PAINTED DESERT NP,-109.769,35.068,1755.6,231,4,0
USC00026194-120-3,USC00026194-120,USC00026194,3,AZ PAINTED ROCK DAM,-113.032,33.077,173.1,231,4,0
USC00026194-161-1,USC00026194-161,USC00026194,1,AZ PAINTED ROCK DAM,-113.032,33.077,173.1,231,4,0
USC00026194-233-2,USC00026194-233,USC00026194,2,AZ PAINTED ROCK DAM,-113.032,33.077,173.1,231,4,0
USC00026242-120-3,USC00026242-120,USC00026242,3,AZ PARADISE,-109.219,31.935,1664.2,231,4,0
USC00026242-160-4,USC00026242-160,USC00026242,4,AZ PARADISE,-109.219,31.935,1664.2,231,4,0
USC00026242-161-1,USC00026242-161,USC00026242,1,AZ PARADISE,-109.219,31.935,1664.2,231,4,0
USC00026242-233-2,USC00026242-233,USC00026242,2,AZ PARADISE,-109.219,31.935,1664.2,231,4,0
USC00026250-120-3,USC00026250-120,USC00026250,3,AZ PARKER   HCN,-114.291,34.155,128,231,4,0
USC00026250-160-4,USC00026250-160,USC00026250,4,AZ PARKER   HCN,-114.291,34.155,128,231,4,0
USC00026250-161-1,USC00026250-161,USC00026250,1,AZ PARKER   HCN,-114.291,34.155,128,231,4,0
USC00026250-233-2,USC00026250-233,USC00026250,2,AZ PARKER   HCN,-114.291,34.155,128,231,4,0
USC00026282-120-3,USC00026282-120,USC00026282,3,AZ PATAGONIA PATON CTR,-110.76,31.539,1232.6,231,4,0
