DWD - Day Historical Data
relh/wspd/airtmax/airtmin
                         
                         
AJ_Kettle  20171003
                                        
Stnid Height   Latitude Longitud St_date  En_date  N_TOTAL  RELH  RELH  RELH  RELH  WSPD  WSPD  WSPD  WSPD  AIRTH AIRTH AIRTH AIRTH AIRTL AIRTL AIRTL AIRTL 
Stnid Height   Latitude Longitud St_date  En_date  N_TOTAL  NGOOD MIN   MAX   AVG   NGOOD MIN   MAX   AVG   NGOOD MIN   MAX   AVG   NGOOD MIN   MAX   AVG   
Stnid Height   Latitude Longitud St_date  En_date  N_TOTAL        %     %     %           m/s   m/s   m/s         C     C     C           C     C     C     
+---+ +------+ +------+ +------+ +------+ +------+ +------+ +----++----++----++----++----++----++----++----++----++----++----++----++----++----++----++----+
00211   200     50.5799   8.4682 19810901 19991231     6696   6696  27.0  99.0 77.86     0-99.00-99.00-99.00  6696 -10.4  35.5 13.73  6696 -20.9  19.0  4.56
00217   672     47.8774  11.3642 19410101 20151231    27180  27118  21.0 100.0 79.08     0-99.00-99.00-99.00 27180 -19.5  36.2 12.80 27180 -30.6  21.8  3.63
00221   483     48.5515  11.7117 19850801 19900531     1765   1765  43.0 100.0 80.72     0-99.00-99.00-99.00  1765 -16.0  31.8 12.71  1765 -24.0  19.1  4.19
00222   387     50.5907  12.7140 19770101 20151231    14243  13601  24.0 100.0 75.21  9581  0.00  9.00  1.69 13879 -13.6  37.1 13.14 13878 -22.9  22.1  4.17
00231   490     48.3723  10.8948 19010101 19740430    18688  18635  35.0 100.0 77.72     0-99.00-99.00-99.00 18688 -17.5  37.5 12.78 18688 -26.0  21.2  4.28
00232   461     48.4254  10.9420 19470101 20151231    25202  25200  33.0 100.0 78.60 20066  0.10 13.20  2.87 25202 -17.9  37.1 13.11 25202 -27.1  20.0  4.09
00238   560     47.9699   9.6672 19510101 20041231    19724  19724  38.0 100.0 80.65     0-99.00-99.00-99.00 19724 -20.0  35.8 12.30 19724 -27.9  19.0  3.74
00243     4     53.4621   7.4670 19580901 20061231    17654  17653  42.0 100.0 84.15     0-99.00-99.00-99.00 17654 -10.1  35.5 12.70 17654 -23.9  20.5  5.08
00257   240     48.7270   8.2458 19490101 20151231    24440  24440  29.5 100.0 78.40     0-99.00-99.00-99.00 24440 -14.4  37.8 14.69 24440 -21.3  22.0  5.69
00259   273     47.8064   7.6387 19470101 20151231    24168  24132  18.0 100.0 75.42  5309  0.20  4.60  1.48 24167 -15.8  38.6 14.44 24167 -23.3  24.4  5.89
00273   467     47.8413   9.6606 19861201 19900430     1247   1247  51.0  97.0 81.48     0-99.00-99.00-99.00  1247 -13.9  33.6 13.22  1247 -24.3  18.0  4.04
00282   240     49.8742  10.9206 19490101 20151231    24471  24469  30.0 100.0 78.03 16185  0.10  9.10  2.05 24471 -16.4  38.0 13.80 24471 -30.1  21.8  4.21
00283   382     49.8808  10.8695 19480101 19591231     4383   4383  33.0  99.0 76.39     0-99.00-99.00-99.00  4383 -16.2  37.5 12.80  4383 -23.2  21.4  4.52
00284   282     49.8800  10.8800 18790101 19581231    29219  29215  22.0 100.0 77.21     0-99.00-99.00-99.00 29215 -17.0  38.3 13.25 29215 -29.7  22.5  4.10
00288     3     53.8409  13.7549 19910101 19980831     2800    792  46.0  99.0 78.92     0-99.00-99.00-99.00  2800 -13.5  37.6 12.49  2800 -21.0  20.5  4.66
00294   110     52.3199   9.4300 19920201 20151231     8735   8732  28.0 100.0 76.79     0-99.00-99.00-99.00  8735 -15.3  37.7 13.91  8735 -19.5  25.4  6.59
