DWD - stnlist info sorted
                         
AJ_Kettle  20171010
                                        
N_stns     1059
                                        
Stnum St_date  En_date  Hght_m   Lat_deg  Lon_deg  N_lines 
+---+ +------+ +------+ +------+ +------+ +------+ +------+
00125 20000702 20151231   756     47.8342  10.8667     5378
01287 19911201 20060831   198     49.8589   9.2861     5388
04367 19920401 20061231   175     52.0780   9.5520     5388
02691 19940401 20081231   378     48.6707  11.2173     5389
03211 19420101 19561231  1011     48.9359  13.5747     5449
01621 19490101 19631231   550     50.2766   9.9146     5478
01380 19410101 19561231    19     54.8147   9.4580     5479
02915 19470101 19611231   640     50.4833  11.4500     5479
04425 19510101 19651231   569     49.4864   7.0290     5479
05442 19910101 20051231   115     51.2165  11.9710     5479
06093 19980201 20151231    62     53.2139  10.4704     5508
04222 19910101 20060131   464     50.5263  12.4091     5510
00738 19690501 19840831   310     50.3080   9.7835     5512
01102 19871101 20021231   300     48.7201   9.5328     5540
06197 20001011 20151231   258     51.8664   9.2709     5560
02546 19881001 20031231   141     48.5576   7.8800     5570
03268 20000601 20151231   920     48.1875   8.9938     5600
03623 20000701 20151231   111     50.8294   6.6602     5601
05109 20000701 20151231    69     53.5997  13.3039     5624
02923 19550101 19700531   663     47.9116  10.6124     5630
06199 20000801 20151231    16     54.2484  13.0418     5631
02410 20000702 20151231   364     48.7112  11.5362     5633
03603 20000701 20151231   473     49.3895   9.9666     5634
04280 20000701 20151231   385     49.2164  11.1036     5634
00603 20000701 20151231   159     50.7349   7.1931     5640
01504 20000701 20151231   172     51.1190   9.2799     5647
04174 20000701 20151231    40     52.2887   7.3866     5649
01339 20000701 20151231    73     52.9157  10.1885     5655
02886 20000701 20151231   539     48.2176   9.9097     5655
03254 20000702 20151231    19     52.7156   7.3176     5656
00368 20000701 20151231    70     52.8152   9.9248     5657
05715 20000701 20151231    57     52.4605   9.4311     5660
00766 20000701 20151231   477     50.1746   7.0595     5662
02385 20000701 20151231   376     49.6927   7.3264     5662
02773 20000701 20151231   417     49.4283  11.9016     5662
03484 20000701 20151231   380     48.7097  11.2096     5662
03639 20000701 20151231    25     53.7647   8.6583     5662
05640 20000701 20151231     8     53.5504   7.6672     5662
03236 19860701 20011231    89     52.2044   8.3382     5663
00129 19910101 20061231    33     53.6893  13.2420     5691
02315 20000601 20151231    81     51.7657  13.1666     5691
02429 20000601 20151231    21     53.9897   9.5696     5691
02905 20000601 20151231   550     48.1849  10.8507     5691
02796 20000601 20151231    40     53.9156  12.2790     5692
02829 20000601 20151231   621     48.0772  10.9144     5692
05107 19880601 20031231   769     48.2813   9.3136     5692
01403 19650401 19801031   260     50.0616   9.4550     5693
00954 19980101 20151231     0     54.1667   7.4500     5743
01239 19860801 20080923   540     47.8516   8.7673     5748
06186 20000401 20151231   268     50.1988   7.8647     5753
00578 19510301 19661231   379     48.9451  11.3667     5785
01345 19470301 19621231    92     53.3346  13.4371     5785
01513 19470101 19621130   653     50.6588   8.1027     5813
06170 20000201 20151231    40     52.0192  14.7254     5813
01762 19910101 20061231   270     50.6249  12.1777     5844
04149 19470101 19621231   764     50.5602  13.2222     5844
04489 19470101 19621231   198     51.8833  10.7667     5844
05821 19610101 19761231    36     52.8482   8.7190     5844
04029 19400101 19571231    25     52.6691   7.9544     5845
03320 19350101 19530531    49     51.1970   6.4499     5874
06163 19991004 20151231    26     54.1654  10.3519     5931
00576 19870801 20031231   445     48.6759   8.9732     5997
03228 19790801 19951231   506     51.0976   7.6670     5997
02701 19470101 20070331   136     51.1329  11.7252     6026
02717 19890601 20051231   395     51.2662   8.8309     6027
06158 19990701 20151231   455     49.2247  10.6084     6028
06157 19990201 20151231     8     53.6409   8.0810     6055
04881 19771001 19940731   532     47.8591   9.0154     6056
00072 19781001 19950531   794     48.2766   9.0001     6087
02506 19470101 19630831   270     51.2667  14.0833     6087
00432 19780401 19941231    36     52.6044  13.2952     6088
01863 19950301 20151231   258     50.2667   9.1854     6089
06129 19990501 20151231   290     51.0594  14.4262     6089
05445 19910101 20071231   165     51.2120  10.9956     6119
00102 19980101 20151231    32     53.8617   8.1266     6175
