station_id,primary_station_id_3,primary_station_id_2,height_of_station_above_sea_level,sub_region,region,source_id,record_id,station_name
AGM00060630,AGM00060630-166,AGM00060630-1,269,61,1,166,1,IN-SALAH
AGM00060640,AGM00060640-166,AGM00060640-1,541.9,61,1,166,1,ILLIZI TAKHAMALT
AGM00060656,AGM00060656-166,AGM00060656-1,442.9,61,1,166,1,TINDOUF
AGM00060670,AGM00060670-166,AGM00060670-1,968,61,1,166,1,TISKA
AGM00060686,AGM00060686-166,AGM00060686-1,399,61,1,166,1,BORDJ-BADJ-MOKHTAR
AGM00060690,AGM00060690-166,AGM00060690-1,401,61,1,166,1,IN-GUEZZAM
AJ000037575,AJ000037575-232,AJ000037575-1,490,16,6,232,1,ZAKATALA
AJ000037639,AJ000037639-232,AJ000037639-1,333,16,6,232,1,AGSTAPHA AIRPORT
AJ000037661,AJ000037661-232,AJ000037661-1,641,16,6,232,1,SHAKI
AJ000037675,AJ000037675-232,AJ000037675-1,552,16,6,232,1,GUBA
AJ000037735,AJ000037735-238,AJ000037735-1,311,16,6,238,1,GANCA
AJ000037740,AJ000037740-232,AJ000037740-1,682,16,6,232,1,QABALA
AJ000037744,AJ000037744-232,AJ000037744-1,94,16,6,232,1,MINGACHEVIR
AJ000037747,AJ000037747-232,AJ000037747-1,15,16,6,232,1,EVLAKH AIRPORT
AJ000037749,AJ000037749-232,AJ000037749-1,95,16,6,232,1,GOYCHAY
AJ000037753,AJ000037753-232,AJ000037753-1,1082,16,6,232,1,ALTIAGACH
AJ000037756,AJ000037756-232,AJ000037756-1,755,16,6,232,1,MARAZA
AJ000037759,AJ000037759-232,AJ000037759-1,892,16,6,232,1,SHAMAKHY
AJ000037769,AJ000037769-232,AJ000037769-1,-19,16,6,232,1,SUMGAIT
AJ000037844,AJ000037844-232,AJ000037844-1,4,16,6,232,1,KURDAMIR
AJ000037849,AJ000037849-232,AJ000037849-1,-5,16,6,232,1,GAZIMAMMAD AERODROM
AJ000037860,AJ000037860-232,AJ000037860-1,28,16,6,232,1,MASHTAGA
AJ000037866,AJ000037866-232,AJ000037866-1,-24,16,2,232,1,PIRALLAHI
AJ000037895,AJ000037895-232,AJ000037895-1,828,16,6,232,1,KHANKANDY
AJ000037899,AJ000037899-232,AJ000037899-1,1355,16,6,232,1,SHUSHA
AJ000037905,AJ000037905-232,AJ000037905-1,71,16,6,232,1,BEYLAGAN AERODROME
AJ000037907,AJ000037907-232,AJ000037907-1,439,16,6,232,1,FIZULY
AJ000037923,AJ000037923-232,AJ000037923-1,-16,16,6,232,1,ALAT
AJ000037925,AJ000037925-232,AJ000037925-1,-24,16,6,232,1,NEFTCHALA
AJ000037936,AJ000037936-232,AJ000037936-1,885,16,6,232,1,NAXCIVAN
AJ000037947,AJ000037947-232,AJ000037947-1,717,16,2,232,1,JULFA
