DWD - Day Historical Data
snoacc                   
                         
                         
AJ_Kettle  20171003
                                        
Stnid Height   Latitude Longitud St_date  En_date  N_TOTAL  SNOAC SNOAC SNOAC SNOAC 
Stnid Height   Latitude Longitud St_date  En_date  N_TOTAL  NGOOD MIN   MAX   AVG   
Stnid Height   Latitude Longitud St_date  En_date  N_TOTAL        cm    cm    cm    
+---+ +------+ +------+ +------+ +------+ +------+ +------+ +----++----++----++----+
01130    17     54.6282   9.3648 20000701 20050131     1620   1209   0.0 110.0  0.30
01146   487     48.6593   8.9121 19850701 19870731      761    761   0.0  21.0  1.63
01154   470     48.3416  12.8820 19450101 19660930     7884   7884   0.0  63.0  2.60
01161   384     48.8777  11.2349 19550101 20151231    20604  18021   0.0  49.0  0.95
01169   264     47.6288   7.5959 19760201 19990930     8582   8582   0.0  40.0  0.33
01172   123     51.8189   9.8871 19510101 19891130    14214  14214   0.0  32.0  0.63
01182   146     51.5029  11.5705 19470101 20010531    18090  15767   0.0  41.0  1.01
01185     0     54.0000   8.1167 20010319 20021117       15      0 -99.0 -99.0-99.00
01188   518     50.7041  10.8576 19470101 19740831    10105   7913   0.0  60.0  2.62
01197   460     48.9895  10.1312 19410101 20151231    26875  26690   0.0  56.0  1.42
01200     3     54.0691   9.0106 19980101 20151231     6566   1478   0.0  10.0  0.28
01201    85     50.9281   6.5646 19470701 20001231    19543  19543   0.0  30.0  0.17
01204     1     53.2346   8.4612 19490101 19651231     6209   6209   0.0  28.0  0.43
01207   560     50.2705  12.2742 19480601 20151231    23805  23651   0.0  78.0  3.03
01214   440     48.2012   8.1089 19871101 20151231     8522   8368   0.0  59.0  0.85
01219     5     53.3449   7.1909 19470101 19970630    11445  11445   0.0  46.0  0.33
01221     0     53.3707   7.2236 19550101 19740228     6999   6999   0.0  27.0  0.49
01224   201     48.1378   7.8351 19751101 20151231    14671  14518   0.0  49.0  0.28
01228     0     54.1651   6.3460 20000701 20151231     4995      1  11.0  11.0 11.00
01229    90     50.3324   7.6975 19470101 19970331    18353  18350   0.0  37.0  0.30
01238   144     50.9884   7.4250 19510101 19960930    16710  16710   0.0  37.0  0.60
01239   540     47.8516   8.7673 19860801 20080923     5748   5715   0.0  43.0  0.47
01243   705     48.4734   9.3028 19760101 19850930     3561   3561   0.0  64.0  3.36
01246   104     51.8418   8.0607 20150801 20151231      153     92   0.0   0.0  0.00
01254   210     49.1307   8.9165 19470701 20021130    20211  20211   0.0  33.0  0.44
01255   220     49.1664   8.8523 20021201 20151231     4779   4626   0.0  17.0  0.31
01262   446     48.3477  11.8133 19920517 20151231     8629   8597   0.0  42.0  0.62
01266    18     54.2992   9.3162 19640501 20151231    18872  18718   0.0  45.0  0.57
01270   316     50.9829  10.9608 19510101 20151231    23741  23741   0.0  45.0  0.86
01275   340     48.3008  13.1398 19670401 19801231     5024   5024   0.0  35.0  0.86
01276   408     47.6358   9.5392 19800801 20021231     7975   7975   0.0  35.0  0.55
01279   268     49.6497  11.0073 19490101 20151231    24106  23951   0.0  26.0  0.52
01280   280     49.5692  10.9929 19470401 19531231     2467   2402   0.0  19.0  0.37
01287   198     49.8589   9.2861 19911201 20060831     5388   5388   0.0  25.0  0.33
01292   470     49.7522  11.8222 19670101 20060430    14365  14365   0.0  51.0  1.82
01297   170     51.1834  10.0638 19470901 20151231    24900  24717   0.0  45.0  0.50
01299     3     53.6476   7.6085 19790901 19991031     7366   7366   0.0  30.0  0.27
01300   351     51.2540   8.1565 19380101 20151231    26246  26238   0.0  58.0  1.54
01303   150     51.4040   6.9676 19350101 20151231    28125  26406   0.0  32.0  0.32
01327   146     50.7119   6.7910 19370101 20151231    27789  27636   0.0  50.0  0.37
01329    50     54.1340  10.5865 19360101 20031231    23377  23377   0.0  65.0  0.76
01332   472     48.4832  12.7240 19660701 20151231    17897  17696   0.0  45.0  1.19
01339    73     52.9157  10.1885 20000701 20151231     5655   5101   0.0  42.0  0.60
01341     0     54.6000  11.1500 20081201 20110928      971      0 -99.0 -99.0-99.00
01345    92     53.3346  13.4371 19470301 19621231     5785      0 -99.0 -99.0-99.00
01346  1490     47.8749   8.0038 19450101 20151231    25758  24954   0.0 350.0 29.84
01357   654     49.9807  11.8376 19480101 20151231    24714  24561   0.0 139.0  6.64
01358  1213     50.4283  12.9535 18900801 20151231    44371  42555   0.0 335.0 31.72
01374   363     50.5049  10.1671 19490112 19720430     8510   8510   0.0  60.0  1.87
01378    45     54.8086   9.4182 19850701 20061231     7854   7854   0.0  28.0  0.30
01379    41     54.7737   9.3752 19570101 19850630    10408  10408   0.0  51.0  0.78
01380    19     54.8147   9.4580 19410101 19561231     5479   5479   0.0  50.0  0.67
01392   622     49.7317  12.3491 19871001 20061231     7032   7032   0.0 118.0  5.61
01403   260     50.0616   9.4550 19650401 19801031     5693   5693   0.0  36.0  1.00
01410   130     51.3512  11.0958 19910101 19970331     2282   2282   0.0  16.0  0.38
01411   745     50.5309  10.0480 19910101 20151231     7487   7332   0.0  80.0  3.40
01420   100     50.0259   8.5213 19490101 20151231    24471  24471   0.0  32.0  0.29
01421   125     50.1474   8.6746 19611201 19840831     8310   8310   0.0  34.0  0.46
01424   124     50.1269   8.6694 19851101 20151231    10927   8717   0.0  18.0  0.08
01425   109     50.1213   8.6601 18700101 19611130    33479  18356   0.0  40.0  0.64
01426    65     52.3397  14.5080 19470101 19841231    13880  10227   0.0  36.0  0.89
01428   230     49.2275   8.0585 19480101 19571231     3653   3653   0.0  32.0  0.30
01440   481     48.2018   7.9336 19710501 20031231    11840  11840   0.0  44.0  0.77
01441   416     50.9263  13.2711 19470101 19930430     8156   6695   0.0  58.0  1.48
01443   236     48.0233   7.8344 19490501 20151231    24351  21164   0.0  40.0  0.33
01447   255     48.0130   7.8588 19470101 19850630    13847  13847   0.0  30.0  0.34
01451     2     53.8277   9.2493 19701101 20151231    16406  16253   0.0  57.0  0.40
01468   797     48.4537   8.4091 19490101 20151231    23945  23649   0.0 156.0  7.91
01473   436     49.1780  11.3735 20060101 20151231     3652   3499   0.0  29.0  0.88
01488   523     51.6884  11.0394 19470101 19721231     9497   5844   0.0  80.0  4.95
01490   394     47.6454   9.4795 19470101 19801130    12388  12388   0.0  38.0  0.67
01492   852     47.7819   7.7348 19580101 20031231    16680  16659   0.0 115.0  5.10
01503     6     53.0643   7.9022 19470201 20151231    23071  22748   0.0  49.0  0.42
01504   172     51.1190   9.2799 20000701 20151231     5647   5314   0.0  22.0  0.25
01513   653     50.6588   8.1027 19470101 19621130     5813   5813   0.0 110.0  3.52
01515   519     48.2000  11.2667 20000702 20030915      780     32   0.0   0.0  0.00
01522   313     49.4811  10.9640 19470601 19550331     2861   2861   0.0  22.0  0.54
01526   255     50.5335   9.6750 19490101 20110426    21665  21665   0.0 130.0  0.53
01544    47     52.5129  11.3941 19470101 20151231    25202  20004   0.0  37.0  0.64
01550   719     47.4831  11.0623 19360101 20151231    28884  27963   0.0 110.0  6.71
01552    13     53.2066  14.3817 19951101 19960430      182    182   0.0  11.0  1.23
01580   110     49.9859   7.9549 19350101 20151231    29585  28038   0.0  32.0  0.29
01583   823     50.7719  13.7732 19470501 19701231     8646   1461   0.0 225.0 26.80
01584   672     47.9242   8.6473 20090601 20151231     2405    963   0.0  38.0  1.21
01586   610     47.8774  12.6279 19610701 19680430     2496   2496   0.0  95.0  5.72
01587   536     48.9481  11.4289 19980101 20151231     6527   1592   0.0  32.0  2.06
01590    37     51.4943   6.2463 19631001 20151231    19085  18932   0.0  26.0  0.19
01593   190     50.2027   9.1989 19350101 19740430    12174  12174   0.0  72.0  0.53
01602   176     48.4329   7.9931 19700101 20151231    15463  15310   0.0  33.0  0.27
01605    35     52.3875  12.1601 19530101 20151231    22852  11724   0.0  39.0  0.72
01612   311     50.8813  12.1289 19520101 20151231    23376  23371   0.0  70.0  1.18
01617   210     51.7259  11.1317 19520101 20071231    20454  19358   0.0  41.0  1.06
01619    90     49.7611   8.4876 19560101 20051231    18263  18263   0.0  32.0  0.30
01621   550     50.2766   9.9146 19490101 19631231     5478   5478   0.0  60.0  2.34
01638   158     50.5910   8.6551 19490101 19840430    12904  12904   0.0  37.0  0.57
01639   203     50.6017   8.6439 19390101 20151231    27363  25897   0.0  30.0  0.46
01645   340     50.9656   9.0500 19490101 20151231    23908  23716   0.0  43.0  0.96
01666    27     54.8273   9.5057 19930301 20151231     8341   8152   0.0  38.0  0.48
01667     1     53.7970   9.4295 19480101 20061231    21550  21550   0.0  27.0  0.35
01684   238     51.1622  14.9506 19470101 20151231    25202  23741   0.0  44.0  1.15
01689   443     49.7656  11.3061 19360101 20040630    24744  24744   0.0  76.0  1.86
01691   167     51.5003   9.9506 19470101 20151231    25202  25202   0.0  33.0  0.63
01694    58     53.6060  12.1033 19470101 20151231    25160  12579   0.0  40.0  0.92
01721   506     49.6640  11.2239 19910101 20151231     9131   8954   0.0  49.0  1.38
01735   628     48.7893  13.6291 19570501 20151231    21399  21222   0.0 158.0  7.61
01736    27     53.5731  10.6797 19510101 20151231    20300  20146   0.0  60.0  0.65
01748   608     50.4788   9.2620 19360101 20050331    22371  22335   0.0  98.0  3.93
01757     2     54.0967  13.4056 18980301 20151231    32813  31333   0.0  73.0  0.83
01758     2     54.1000  13.4500 19470101 19771231    11323   9862   0.0  48.0  0.81
01759    12     54.2437  13.9102 19470801 20151231    11223   1802   0.0  17.0  0.54
01761   284     50.6500  12.2000 19470101 19581231     4383      0 -99.0 -99.0-99.00
01762   270     50.6249  12.1777 19910101 20061231     5844   5844   0.0  25.0  0.72
01766    48     52.1344   7.6969 19891001 20151231     9588   9588   0.0  25.0  0.17
01803    34     54.0714  12.3238 19670101 20151231    17744  12898   0.0  78.0  0.79
01832  1436     49.1130  13.1342 19821101 20151231    12114  11821   0.0 372.0 41.28
