DWD - Day Historical Data
airt/vapprs/ccov/pres    
                         
                         
AJ_Kettle  20171003
                                        
Stnid Height   Latitude Longitud St_date  En_date  N_TOTAL  AIRT  AIRT  AIRT  AIRT  VPPRS VPPRS VPPRS VPPRS CCOV  CCOV  CCOV  CCOV  PRES   PRES   PRES   PRES  
Stnid Height   Latitude Longitud St_date  En_date  N_TOTAL  NGOOD MIN   MAX   AVG   NGOOD MIN   MAX   AVG   NGOOD MIN   MAX   AVG   NGOOD  MIN    MAX    AVG   
Stnid Height   Latitude Longitud St_date  En_date  N_TOTAL        DEG_C DEG_C DEG_C       hPa   hPa   hPa         OKTA  OKTA  OKTA         hPa    hPa    hPa   
+---+ +------+ +------+ +------+ +------+ +------+ +------+ +----++----++----++----++----++----++----++----++----++----++----++----++----++-----++-----++-----+
00217   672     47.8774  11.3642 19410101 20151231    27180  27180 -24.8  29.4  7.93 27117  0.70 25.20  9.19 25723  0.00  8.00  5.07     0  -99.0  -99.0  -99.0
00221   483     48.5515  11.7117 19850801 19900531     1765   1765 -18.7  24.9  8.07  1765  1.20 22.20  9.42  1765  0.00  8.00  5.16     0  -99.0  -99.0  -99.0
00222   387     50.5907  12.7140 19770101 20151231    14243  13877 -18.4  27.8  8.45 13603  1.00 21.80  8.88  4118  0.00  8.00  5.42  4295  936.1 1010.3  969.3
00231   490     48.3723  10.8948 19010101 19740430    18688  18688 -21.3  28.6  8.42 18635  1.10 22.10  9.25 18666  0.00  8.00  4.89  7701  924.0  982.2  958.7
00232   461     48.4254  10.9420 19470101 20151231    25202  25202 -22.5  29.0  8.49 25200  0.90 22.70  9.34 25194  0.00  8.00  5.38 25200  916.8  986.8  959.8
00238   560     47.9699   9.6672 19510101 20041231    19724  19724 -22.9  27.2  7.87 19724  0.80 21.70  9.27 19724  0.00  8.00  5.59     0  -99.0  -99.0  -99.0
00243     4     53.4621   7.4670 19580901 20061231    17654  17654 -18.6  26.8  8.79 17653  1.20 24.60 10.29 17654  0.00  8.00  5.77     0  -99.0  -99.0  -99.0
00257   240     48.7270   8.2458 19490101 20151231    24440  24440 -16.2  30.0  9.93 24440  0.90 26.20 10.25 22980  0.00  8.00  5.24     0  -99.0  -99.0  -99.0
00259   273     47.8064   7.6387 19470101 20151231    24168  24168 -18.0  30.5 10.00 24132  1.10 24.50  9.86 22712  0.00  8.00  5.03     0  -99.0  -99.0  -99.0
00273   467     47.8413   9.6606 19861201 19900430     1247   1247 -20.9  25.1  8.24  1247  1.00 21.90  9.59  1247  0.00  8.00  5.30     0  -99.0  -99.0  -99.0
00282   240     49.8742  10.9206 19490101 20151231    24471  24471 -20.2  29.0  8.91 24469  0.80 25.70  9.54 23087  0.00  8.00  5.45 20296  942.6 1013.9  987.6
00283   382     49.8808  10.8695 19480101 19591231     4383   4383 -20.1  29.2  8.58  4383  0.80 21.10  9.08  4383  0.00  8.00  5.23  4262  940.4  997.4  970.8
00284   282     49.8800  10.8800 18790101 19581231    29219  29215 -24.3  29.5  8.34 29215  0.70 22.70  9.27 29215  0.00  8.00  5.43 29215  946.0 1018.0  983.1
00288     3     53.8409  13.7549 19910101 19980831     2800   2800 -15.4  27.1  8.59   792  1.40 22.90 10.12  2552  0.00  8.00  5.51     0  -99.0  -99.0  -99.0
00294   110     52.3199   9.4300 19920201 20151231     8735   8735 -16.4  29.6 10.06  8732  1.50 24.20 10.01  7090  0.00  8.00  5.33     0  -99.0  -99.0  -99.0
00298     3     54.3406  12.7108 19470101 20151231    18628  18284 -17.0  26.2  8.44 18251  1.30 24.40  9.71  6165  0.00  8.00  5.28 12605  969.4 1047.1 1013.5
00303    55     52.0614  13.4996 19980101 20151231     6568   6422 -19.1  29.1  9.67  6385  1.10 23.20  9.73  2591  0.00  8.00  5.08  6384  967.7 1040.5 1008.8
00314   232     51.1605  14.5037 19450606 20151231    24468  24398 -24.2  31.2  9.11 23183  0.80 25.10  9.37 23005  0.00  8.00  5.61  2856  953.7 1014.7  989.6
00320   350     49.9667  11.5197 19470101 20151231    25202  25202 -22.0  28.1  8.24 25202  0.80 24.40  9.18 23741  0.00  8.00  5.35  3548  944.7  999.4  974.7
00326   120     51.7204   8.0577 20040701 20130707     3294   3292 -13.7  28.5 10.13  3287  1.70 21.80 10.25  2596  0.00  8.00  5.41     0  -99.0  -99.0  -99.0
00327    27     53.6234   8.8323 19620901 19961031    12480  12480 -14.2  27.2  8.56 12480  1.30 24.00  9.86 12480  0.00  8.00  5.35     0  -99.0  -99.0  -99.0
00330   450     49.5617   8.9679 19370101 20151231    28733  28733 -20.0  30.3  8.38 28610  0.90 23.30  9.26 27272  0.00  8.00  5.76     0  -99.0  -99.0  -99.0
00335     4     54.3426  10.6018 19761201 19771031      335    335  -4.5  19.5  8.61   335  2.90 19.20  9.93   335  1.70  8.00  5.49     0  -99.0  -99.0  -99.0
00342   103     52.3170   8.1693 20101201 20151231     1857   1857 -10.1  28.2  9.82  1847  1.80 22.80 10.07  1827  0.00  8.00  5.29  1848  962.1 1027.7 1003.1
00348   127     50.4135   7.5886 19900101 20110901     7914   7885 -14.3  29.2 10.72  7863  1.70 24.10 10.28  4530  0.00  8.00  5.67  7882  963.3 1027.7 1001.1
00355   140     49.6789   8.6276 19470101 19891031    15614  15614 -16.9  30.5 10.17 15614  0.90 25.10 10.02 15614  0.00  8.00  5.07     0  -99.0  -99.0  -99.0
00365   421     49.3311  11.4303 19911001 20020930     4018   4018 -15.6  26.5  8.43  4017  1.40 22.00  9.41  4018  0.00  8.00  5.26     0  -99.0  -99.0  -99.0
00368    70     52.8152   9.9248 20000701 20151231     5657   5599 -14.5  28.2  9.43  5521  1.50 22.90  9.96  5529  0.00  8.00  5.49  5521  965.2 1036.2 1006.0
00377   252     49.1070   7.9967 19470101 20151231    24563  24561 -16.5  30.6 10.26 24559  1.20 25.40 10.01 23089  0.00  8.00  4.96     0  -99.0  -99.0  -99.0
00386   445     51.0454   8.3851 19730701 19861130     4870   4870 -15.6  25.6  7.16  4870  1.10 20.60  8.95  4793  0.00  8.00  5.99     0  -99.0  -99.0  -99.0
00390   610     50.9837   8.3679 19861201 20151231    10623  10623 -17.6  27.1  7.10 10611  1.20 22.00  9.00  9169  0.00  8.00  5.63     0  -99.0  -99.0  -99.0
00395    38     52.4167  13.4833 19480701 19531231     2010   2010 -13.1  26.2  9.33  1982  2.00 23.60  9.86     0-99.00-99.00-99.00  2010  973.6 1037.2 1010.9
00399    37     52.5206  13.4106 19810101 20141231    12312  10417 -17.6  31.1 10.70 10285  1.00 22.80  9.30  3924  0.00  8.00  5.44 11239  957.0 1036.9 1005.4
00400    60     52.6309  13.5022 19610101 20151231    20088  19904 -18.9  29.6  9.26 19900  1.20 24.20  9.58 11258  0.00  8.00  5.37     0  -99.0  -99.0  -99.0
00402    55     52.4564  13.2997 18760101 19621231    31586  31581 -22.6  29.4  8.94 15055  1.10 24.00  9.62 31586  0.00  8.00  5.29 31586  968.3 1048.7 1008.5
00403    51     52.4537  13.3017 19500101 20151231    24106  24106 -17.9  29.5  9.25 24105  1.10 23.90  9.54 24106  0.00  8.00  5.20 24106  961.0 1040.0 1008.0
00405    37     52.4500  13.6500 19510401 19541231     1371   1160 -13.2  26.4 10.34  1160  2.50 26.10 11.45     0-99.00-99.00-99.00     0  -99.0  -99.0  -99.0
00407    48     52.6461  13.2858 19580101 19780331     7395   7395 -18.1  28.8  8.44  7395  1.10 22.40  9.29  7395  0.00  8.00  5.48     0  -99.0  -99.0  -99.0
00408    35     52.5333  13.3833 19481201 19511130     1095   1095 -11.3  27.8 10.32  1095  2.00 21.70  9.43     0-99.00-99.00-99.00     0  -99.0  -99.0  -99.0
00410    33     52.4040  13.7309 19960601 20151231     7153   7148 -17.7  28.3  9.53  7142  1.10 24.50  9.84  5692  0.00  8.00  5.26     0  -99.0  -99.0  -99.0
00416    47     52.4069  13.4127 19820701 19960930     5114   5114 -19.3  29.7  9.54  5114  1.10 22.20  9.41  5114  0.00  8.00  5.03     0  -99.0  -99.0  -99.0
00417    43     52.4144  13.3036 19360101 19561031     7215   7215 -18.5  29.8  8.95  7215  1.00 23.20  9.70  7215  0.00  8.00  5.39   731  980.4 1036.3 1011.2
00420    60     52.5447  13.5598 19930501 20151231     6972   6972 -15.8  30.3 10.16  6963  1.30 22.60  9.77  5513  0.00  8.00  5.61     0  -99.0  -99.0  -99.0
00422    35     52.5333  13.3833 19560101 19641231     3288   3288 -17.0  30.4  9.52  3288  0.90 22.00  9.44     0-99.00-99.00-99.00     0  -99.0  -99.0  -99.0
00424    36     52.5000  13.4667 19540101 19801231     9862   9862 -17.9  29.8  9.44  9862  1.10 22.40  9.25  8470  0.00  8.00  4.91  7748  966.3 1042.2 1009.8
00425    38     52.4044  13.4838 19590101 19820630     8582   8582 -17.9  28.6  8.75  8582  1.20 23.20  9.34  8552  0.00  8.00  5.07     0  -99.0  -99.0  -99.0
00427    46     52.3807  13.5306 19670101 20151231    17897  17897 -20.0  30.2  9.24 17867  1.10 23.20  9.51 17872  0.00  8.00  5.27 17897  961.4 1041.3 1009.8
00429    32     52.5667  13.1694 19861001 19870131      123    123 -20.4  13.9  2.64   123  1.00 12.50  6.79   123  0.00  8.00  5.44     0  -99.0  -99.0  -99.0
00430    36     52.5644  13.3088 19630101 20151231    19358  19358 -18.1  30.8  9.79 19358  1.20 22.90  9.35 19358  0.00  8.00  5.25 19358  963.1 1043.1 1011.0
00432    36     52.6044  13.2952 19780401 19941231     6088   6088 -20.8  30.4  8.98  6088  1.00 25.40  9.26  6088  0.00  8.00  5.45     0  -99.0  -99.0  -99.0
00433    48     52.4675  13.4021 19480101 20151231    24837  24837 -18.5  30.5  9.75 24820  1.10 23.50  9.41 22220  0.00  8.00  5.26 24826  961.9 1041.6 1009.4
00434    35     52.4553  13.4699 19470101 19601231     4018   4018 -17.3  28.2  9.13  4018  0.90 22.50  9.72     0-99.00-99.00-99.00     0  -99.0  -99.0  -99.0
00435    45     52.4289  13.2327 19640101 20061231    15706  15706 -18.5  29.0  9.34 15706  1.10 23.50  9.68 15706  0.00  8.00  5.29     0  -99.0  -99.0  -99.0
00445    84     51.8218  11.7109 18980101 20151231    32322  32322 -21.1  30.5  9.28 17466  0.90 23.80  9.73 25472  0.00  8.00  5.31  9170  966.2 1040.1 1005.0
00450   120     49.9186   7.0664 19450101 20121203    24809  24803 -16.2  30.5 10.48 24776  1.20 24.40  9.95 24421  0.00  8.00  5.60     0  -99.0  -99.0  -99.0
00460   363     49.2640   6.6868 19510101 20151231    23723  23661 -17.4  30.0  9.18 23626  1.20 25.40  9.78 20036  0.00  8.00  5.21 23664  927.6  998.8  972.8
00474   599     48.1252   9.7639 19590101 19860930    10135  10135 -20.7  27.4  8.01 10135  0.90 20.50  8.97 10135  0.00  8.00  5.62     0  -99.0  -99.0  -99.0
00480   296     50.9275   8.4935 19450101 20061231    22263  22263 -18.6  27.1  8.10 22091  1.10 23.60  9.21 22263  0.00  8.00  5.48  4099  949.5 1010.0  981.9
00502   412     49.8747   9.4883 19670801 20061231    14398  14398 -17.4  27.2  7.97 14398  1.10 24.10  9.16 14367  0.00  8.00  5.20     0  -99.0  -99.0  -99.0
00524    80     51.6333  12.3167 19470101 19921231     8036   8036 -19.1  31.0  9.83  8036  1.10 26.10  9.56  8036  0.00  8.00  5.21  4974  969.2 1036.0 1006.2
00526   254     50.6738  11.2805 19510101 19751231     9131   8965 -20.7  27.0  8.23  8955  0.90 28.80  9.11     0-99.00-99.00-99.00     0  -99.0  -99.0  -99.0
00535   417     50.0372   7.3079 19470101 20151231    24074  24070 -19.1  28.2  8.39 23553  0.80 24.60  9.59 22572  0.00  8.00  5.59     0  -99.0  -99.0  -99.0
00550   344     50.9041  11.7985 19940501 20020930     3075   3075 -16.1  27.6  9.23  3075  1.50 22.30  9.72  3075  0.00  8.00  5.46     0  -99.0  -99.0  -99.0
00553    25     51.8380   6.6107 19540101 19740831     7548   7548 -15.0  29.1  9.75  7548  1.20 24.10 10.04  7548  0.00  8.00  5.41  7548  968.7 1040.2 1010.2
