DWD - Day Historical Data
minbod/gust/ppt/sundur   
                         
                         
AJ_Kettle  20171003
                                        
Stnid Height   Latitude Longitud St_date  En_date  N_TOTAL  MNBOD MNBOD MNBOD MNBOD GUST  GUST  GUST  GUST  PPT   PPT   PPT   PPT   SUNDR SUNDR SUNDR SUNDR 
Stnid Height   Latitude Longitud St_date  En_date  N_TOTAL  NGOOD MIN   MAX   AVG   NGOOD MIN   MAX   AVG   NGOOD MIN   MAX   AVG   NGOOD MIN   MAX   AVG   
Stnid Height   Latitude Longitud St_date  En_date  N_TOTAL        C     C     C           m/s   m/s   m/s         mm    mm    mm          hour  hour  hour  
+---+ +------+ +------+ +------+ +------+ +------+ +------+ +----++----++----++----++----++----++----++----++----++----++----++----++----++----++----++----+
00368    70     52.8152   9.9248 20000701 20151231     5657   2807 -25.0  19.0  3.64  5405   1.5  22.6   7.6  5291   0.0  66.3   2.2     0 -99.0 -99.0 -99.0
00377   252     49.1070   7.9967 19470101 20151231    24563  19664 -21.0  22.7  5.25     0 -99.0 -99.0 -99.0 24562   0.0  73.4   2.2 14774   0.0  15.2   4.0
00386   445     51.0454   8.3851 19730701 19861130     4870   4713 -27.0  18.9  1.33     0 -99.0 -99.0 -99.0  4870   0.0  57.0   2.8  3216   0.0  15.3   3.5
00390   610     50.9837   8.3679 19861201 20151231    10623  10623 -25.8  17.5  1.59     0 -99.0 -99.0 -99.0 10623   0.0  73.4   3.0  6422   0.0  15.4   4.3
00395    38     52.4167  13.4833 19480701 19531231     2010   2010 -21.1  18.2  3.51     0 -99.0 -99.0 -99.0     0 -99.0 -99.0 -99.0     0 -99.0 -99.0 -99.0
00399    37     52.5206  13.4106 19810101 20141231    12312   8017 -20.2  22.6  6.23  8139   0.0  43.0  16.2 10545   0.0  60.4   1.6    31   0.0   4.6   0.3
00400    60     52.6309  13.5022 19610101 20151231    20088  14892 -30.2  20.2  3.66  3196   1.0  25.2   6.5 19904   0.0 108.5   1.6 11969   0.0  16.5   4.5
00402    55     52.4564  13.2997 18760101 19621231    31586   9563 -23.5  23.0  4.09     0 -99.0 -99.0 -99.0 31585   0.0 124.7   1.6  4808   0.0  15.8   4.6
00403    51     52.4537  13.3017 19500101 20151231    24106  24102 -31.6  21.0  3.67     0 -99.0 -99.0 -99.0 24106   0.0 106.0   1.6 23961   0.0  16.4   4.7
00405    37     52.4500  13.6500 19510401 19541231     1371      0 -99.0 -99.0-99.00     0 -99.0 -99.0 -99.0     0 -99.0 -99.0 -99.0     0 -99.0 -99.0 -99.0
00407    48     52.6461  13.2858 19580101 19780331     7395   7395 -30.6  18.6  2.75     0 -99.0 -99.0 -99.0  7395   0.0  83.8   1.6  7302   0.0  15.5   4.5
00408    35     52.5333  13.3833 19481201 19511130     1095      0 -99.0 -99.0-99.00     0 -99.0 -99.0 -99.0     0 -99.0 -99.0 -99.0     0 -99.0 -99.0 -99.0
00410    33     52.4040  13.7309 19960601 20151231     7153   7153 -30.0  19.7  2.65     0 -99.0 -99.0 -99.0  7153   0.0  74.1   1.6  7152   0.0  15.7   4.9
00416    47     52.4069  13.4127 19820701 19960930     5114   5114 -26.2  19.8  3.85     0 -99.0 -99.0 -99.0  5114   0.0  45.8   1.5     0 -99.0 -99.0 -99.0
00417    43     52.4144  13.3036 19360101 19561031     7215      0 -99.0 -99.0-99.00     0 -99.0 -99.0 -99.0  7215   0.0  84.3   1.5  7123   0.0  15.6   4.5
00420    60     52.5447  13.5598 19930501 20151231     6972   6972 -22.5  20.7  4.95     0 -99.0 -99.0 -99.0  6972   0.0  61.2   1.6     0 -99.0 -99.0 -99.0
00422    35     52.5333  13.3833 19560101 19641231     3288   3288 -23.6  22.8  4.43     0 -99.0 -99.0 -99.0     0 -99.0 -99.0 -99.0     0 -99.0 -99.0 -99.0
00424    36     52.5000  13.4667 19540101 19801231     9862   8521 -28.5  21.0  3.71  2088   5.0  34.0  10.6  9861   0.0 107.6   1.5     0 -99.0 -99.0 -99.0
00425    38     52.4044  13.4838 19590101 19820630     8582   8582 -28.6  19.2  3.07     0 -99.0 -99.0 -99.0  8582   0.0 122.2   1.6     0 -99.0 -99.0 -99.0
00427    46     52.3807  13.5306 19670101 20151231    17897  17897 -30.1  20.4  3.00 15225   1.9  33.0  10.4 17897   0.0 128.0   1.4  8685   0.0  16.1   4.8
00429    32     52.5667  13.1694 19861001 19870131      123      0 -99.0 -99.0-99.00     0 -99.0 -99.0 -99.0   123   0.0  20.2   2.0     0 -99.0 -99.0 -99.0
00430    36     52.5644  13.3088 19630101 20151231    19358  19356 -28.1  21.8  3.63 10576   2.1  33.5  10.3 19357   0.0 130.0   1.5 12145   0.0  16.1   4.6
00432    36     52.6044  13.2952 19780401 19941231     6088   6024 -26.1  21.5  2.54     0 -99.0 -99.0 -99.0  6088   0.0  95.8   1.6     0 -99.0 -99.0 -99.0
00433    48     52.4675  13.4021 19480101 20151231    24837  24837 -28.2  20.0  3.55 15275   2.1  36.0  10.8 24837   0.0 119.5   1.6 16480   0.0  16.3   4.6
00434    35     52.4553  13.4699 19470101 19601231     4018   4004 -25.0  19.0  3.13     0 -99.0 -99.0 -99.0     0 -99.0 -99.0 -99.0     0 -99.0 -99.0 -99.0
00435    45     52.4289  13.2327 19640101 20061231    15706  15706 -29.5  20.7  4.30     0 -99.0 -99.0 -99.0 15706   0.0 100.5   1.7     0 -99.0 -99.0 -99.0
00445    84     51.8218  11.7109 18980101 20151231    32322  14914 -32.1  21.0  3.47     0 -99.0 -99.0 -99.0 32116   0.0  79.5   1.4 20510   0.0  15.7   4.4
00450   120     49.9186   7.0664 19450101 20121203    24809  24744 -23.2  21.3  5.17     0 -99.0 -99.0 -99.0 24809   0.0  82.6   1.9 22219   0.0  14.7   3.9
00460   363     49.2640   6.6868 19510101 20151231    23723  23623 -23.3  21.5  4.38 17036   1.3  43.0  11.3 23496   0.0  64.0   2.2 23590   0.0  15.5   4.7
00474   599     48.1252   9.7639 19590101 19860930    10135  10135 -28.7  19.6  2.97     0 -99.0 -99.0 -99.0 10135   0.0  68.4   2.3  1157   0.0  12.7   3.8
00480   296     50.9275   8.4935 19450101 20061231    22263  19797 -29.7  18.3  2.87     0 -99.0 -99.0 -99.0 22261   0.0  63.2   2.4 18623   0.0  14.4   4.0
00502   412     49.8747   9.4883 19670801 20061231    14398  14398 -23.5  18.8  3.02     0 -99.0 -99.0 -99.0 14398   0.0  75.9   2.7 14398   0.0  14.9   4.3
00524    80     51.6333  12.3167 19470101 19921231     8036   7007 -26.6  21.3  4.87     0 -99.0 -99.0 -99.0  8035   0.0 121.3   1.4  8036   0.0  15.7   4.3
00526   254     50.6738  11.2805 19510101 19751231     9131   8965 -28.6  23.9  3.03     0 -99.0 -99.0 -99.0     0 -99.0 -99.0 -99.0     0 -99.0 -99.0 -99.0
00535   417     50.0372   7.3079 19470101 20151231    24074  23398 -23.0  21.4  3.27     0 -99.0 -99.0 -99.0 24074   0.0  60.5   2.2  4113   0.0  15.4   4.3
00550   344     50.9041  11.7985 19940501 20020930     3075   3075 -22.9  18.5  3.80     0 -99.0 -99.0 -99.0  3075   0.0  53.2   1.9     0 -99.0 -99.0 -99.0
00553    25     51.8380   6.6107 19540101 19740831     7548   7548 -22.6  19.7  5.10  1553   2.6  35.0  10.2  7548   0.0  73.6   2.1  7547   0.0  15.7   4.2
00554    23     51.8293   6.5365 19470101 20060228    14061  14029 -22.9  21.1  4.54 11349   1.0  41.2  10.2 14025   0.0  85.1   2.0 14012   0.0  16.0   4.4
